Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
B.Tech IT,"Kubernetes, AWS, Data Structures, HTML",Machine Learning,Reading Tech Blogs,Solving Problems,Computer Science,Mobile App Developer,66298,Create mobile applications.,Medium,Android-iOS-ReactNative
MCA,"JavaScript, SQL, Networking, Kubernetes",Game Design,Reading Tech Blogs,Building Intelligent Systems,Information Technology,QA Automation Engineer,117000,Write automated test suites.,High,Selenium-PyTest-API Testing
MTech Artificial Intelligence,"DevOps, React, Java, Networking",Software Engineering,Exploring Open Source,Creating Technology,Computer Science,AI Engineer,90225,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
10th,"Automation, Linux, Node.js, Deep Learning",Game Design,Building Projects,Developing Web Apps,Mathematics,Full Stack Developer,92521,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
B.E Computer Science,"Kubernetes, Python, Java, Cloud Computing",Cloud Computing,Competitive Programming,Designing User Experiences,Information Technology,Frontend Developer,96362,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
10th,"Machine Learning, Kubernetes, Node.js, Cybersecurity",Web Development,Exploring Open Source,Designing User Experiences,Mathematics,Cloud Engineer,136915,Design and maintain cloud infrastructure.,High,AWS-Azure-GCP-Docker-Kubernetes
B.E Computer Science,"Python, Azure, Kubernetes, C++",Ethical Hacking,Debugging,Securing Networks,Physics,Data Scientist,90911,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
Diploma in Computer Engineering,"Node.js, JavaScript, CSS, Networking",AI,Debugging,Developing Web Apps,Mathematics,Machine Learning Engineer,84625,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
B.Tech CSE,"JavaScript, Data Structures, Node.js, Networking",Machine Learning,Reading Tech Blogs,Solving Problems,Computer Science,Mobile App Developer,111053,Create mobile applications.,Very High,Android-iOS-ReactNative
Diploma in Computer Engineering,"React, AWS, Docker, Cybersecurity",UI/UX Design,Reading Tech Blogs,Automating Processes,Computer Science,Blockchain Developer,147702,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
BSc Computer Science,"Machine Learning, AWS, Python, C++",Game Design,Exploring Open Source,Automating Processes,Data Science,UI/UX Designer,90575,Design seamless user experiences.,Very High,Wireframing-Prototyping-DesignTools
BSc Computer Science,"Cloud Computing, Python, Machine Learning, Node.js",Machine Learning,Building Projects,Creating Technology,Physics,Cybersecurity Analyst,84722,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
BSc Computer Science,"Docker, Automation, DevOps, Machine Learning",Ethical Hacking,Exploring Open Source,Designing User Experiences,Electronics,Network Engineer,146647,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
B.Tech IT,"HTML, Java, Data Structures, Python",App Development,Reading Tech Blogs,Automating Processes,Electronics,Cybersecurity Analyst,133673,Monitor and protect systems from cyber threats.,Medium,NetworkSecurity-Firewalls-EthicalHacking
MSc Computer Science,"Java, HTML, CSS, Python",AI,Exploring Open Source,Securing Networks,Information Technology,AR/VR Developer,116486,Create immersive AR/VR experiences.,High,Unity-3D Modeling-ARKit-VRSystems
MCA,"Cloud Computing, Data Structures, Java, Linux",Cloud Computing,Building Projects,Automating Processes,Electronics,AR/VR Developer,60036,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
MTech Artificial Intelligence,"Azure, DevOps, AWS, Automation",Networking,Reading Tech Blogs,Working with Data,Information Technology,Backend Developer,131474,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
MTech Data Science,"HTML, Data Structures, Machine Learning, Azure",Networking,Reading Tech Blogs,Designing User Experiences,Information Technology,Cloud Engineer,113534,Design and maintain cloud infrastructure.,Very High,AWS-Azure-GCP-Docker-Kubernetes
Diploma in Computer Engineering,"Java, C++, CSS, Cybersecurity",Ethical Hacking,Designing,Creating Technology,Mathematics,Mobile App Developer,118487,Create mobile applications.,Medium,Android-iOS-ReactNative
BCA,"Machine Learning, Python, Cybersecurity, Cloud Computing",Ethical Hacking,Reading Tech Blogs,Designing User Experiences,Physics,Cybersecurity Analyst,83858,Monitor and protect systems from cyber threats.,Very High,NetworkSecurity-Firewalls-EthicalHacking
MSc Computer Science,"React, AWS, DevOps, Networking",Software Engineering,Reading Tech Blogs,Working with Data,Physics,Backend Developer,97998,Manage server-side logic and databases.,High,Node-Python-Databases-APIs
12th,"SQL, Deep Learning, Machine Learning, C++",Ethical Hacking,Exploring Open Source,Solving Problems,Electronics,Software Developer,68419,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
B.Tech IT,"JavaScript, Networking, Machine Learning, SQL",Cloud Computing,Building Projects,Creating Technology,Mathematics,Data Scientist,130307,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
BCA,"Data Structures, Deep Learning, HTML, CSS",Ethical Hacking,Competitive Programming,Automating Processes,Electronics,Mobile App Developer,123566,Create mobile applications.,High,Android-iOS-ReactNative
B.E Computer Science,"Networking, AWS, Automation, C++",Web Development,Building Projects,Creating Technology,Electronics,Data Scientist,99462,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
B.Tech IT,"HTML, C++, Cybersecurity, React",Ethical Hacking,Gaming,Developing Web Apps,Information Technology,QA Automation Engineer,113100,Write automated test suites.,Medium,Selenium-PyTest-API Testing
12th,"Java, SQL, Cloud Computing, Cybersecurity",AI,Exploring Open Source,Solving Problems,Data Science,Data Scientist,127693,Analyze and model data for insights.,Medium,Statistics-ML-DataVisualization
BSc Computer Science,"Kubernetes, Python, JavaScript, Java",AI,Competitive Programming,Automating Processes,Physics,AI Engineer,95598,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
B.Tech CSE,"Linux, Automation, Machine Learning, C++",App Development,Competitive Programming,Designing User Experiences,Data Science,Database Administrator,106876,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
B.Tech CSE,"HTML, Automation, Networking, Deep Learning",Ethical Hacking,Reading Tech Blogs,Developing Web Apps,Physics,Software Developer,126452,Develop and maintain software applications.,High,DSA-OOPs-Databases-APIs
10th,"Deep Learning, Kubernetes, JavaScript, SQL",Data Analytics,Gaming,Developing Web Apps,Data Science,UI/UX Designer,120926,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
BCA,"Automation, Cloud Computing, Deep Learning, AWS",Game Design,Designing,Solving Problems,Data Science,Mobile App Developer,136775,Create mobile applications.,Very High,Android-iOS-ReactNative
BSc Computer Science,"Azure, HTML, React, Cybersecurity",Ethical Hacking,Coding,Automating Processes,Physics,Machine Learning Engineer,122721,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
MSc Computer Science,"Node.js, Deep Learning, Python, Kubernetes",Machine Learning,Debugging,Developing Web Apps,Electronics,Backend Developer,130404,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
B.E Computer Science,"Linux, Networking, Data Structures, SQL",Cloud Computing,Debugging,Solving Problems,Physics,Machine Learning Engineer,116774,Build and deploy ML models.,Very High,ML-DeepLearning-ModelDeployment
MTech Artificial Intelligence,"Cybersecurity, React, Networking, CSS",Game Design,Reading Tech Blogs,Building Intelligent Systems,Physics,AI Engineer,79135,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
12th,"C++, JavaScript, React, Java",App Development,Gaming,Designing User Experiences,Information Technology,Blockchain Developer,107689,Develop blockchain-based applications.,High,SmartContracts-Web3-Cryptography
BCA,"CSS, AWS, Networking, Machine Learning",Game Design,Designing,Building Intelligent Systems,Information Technology,AR/VR Developer,69566,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
Diploma in Computer Engineering,"Data Structures, Kubernetes, Automation, AWS",AI,Reading Tech Blogs,Securing Networks,Mathematics,Database Administrator,147456,Manage and secure databases.,High,SQL-NoSQL-DBSecurity
MTech Artificial Intelligence,"Linux, React, Java, Cloud Computing",Machine Learning,Exploring Open Source,Creating Technology,Electronics,Database Administrator,114769,Manage and secure databases.,Medium,SQL-NoSQL-DBSecurity
BCA,"Java, Azure, Cybersecurity, Automation",UI/UX Design,Competitive Programming,Creating Technology,Data Science,DevOps Engineer,78875,Automate CI/CD pipelines and system deployments.,Medium,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"Machine Learning, AWS, React, Kubernetes",Networking,Designing,Securing Networks,Electronics,Frontend Developer,119865,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
MCA,"Docker, JavaScript, Cloud Computing, Deep Learning",Data Analytics,Competitive Programming,Building Intelligent Systems,Electronics,QA Automation Engineer,87862,Write automated test suites.,High,Selenium-PyTest-API Testing
B.Tech IT,"CSS, Data Structures, AWS, Python",Game Design,Designing,Securing Networks,Computer Science,Machine Learning Engineer,123533,Build and deploy ML models.,High,ML-DeepLearning-ModelDeployment
MTech Data Science,"Python, Cybersecurity, HTML, Networking",Data Analytics,Gaming,Solving Problems,Computer Science,Full Stack Developer,106597,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
Diploma in Computer Engineering,"Azure, Machine Learning, Linux, HTML",Web Development,Building Projects,Securing Networks,Computer Science,Game Developer,106139,Build interactive video games.,Very High,Unity-C#-GamePhysics
MCA,"Azure, CSS, C++, Node.js",Web Development,Reading Tech Blogs,Developing Web Apps,Information Technology,UI/UX Designer,115053,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
B.E Information Science,"Automation, HTML, Machine Learning, Azure",AI,Gaming,Securing Networks,Electronics,Machine Learning Engineer,62601,Build and deploy ML models.,Medium,ML-DeepLearning-ModelDeployment
MCA,"C++, Python, Deep Learning, React",Cloud Computing,Gaming,Designing User Experiences,Physics,AI Engineer,98351,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
MTech Data Science,"CSS, Python, Azure, Automation",UI/UX Design,Gaming,Solving Problems,Information Technology,Mobile App Developer,143868,Create mobile applications.,Very High,Android-iOS-ReactNative
B.E Information Science,"Azure, Node.js, React, Python",Machine Learning,Gaming,Developing Web Apps,Data Science,Data Scientist,124943,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
B.Tech IT,"Node.js, Cybersecurity, Kubernetes, Azure",Web Development,Debugging,Creating Technology,Physics,Software Developer,86914,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
B.Tech CSE,"Azure, HTML, DevOps, JavaScript",Data Analytics,Coding,Automating Processes,Data Science,Game Developer,135797,Build interactive video games.,Medium,Unity-C#-GamePhysics
BSc Information Technology,"React, Python, Automation, JavaScript",Networking,Gaming,Building Intelligent Systems,Mathematics,AI Engineer,125335,Develop AI-powered applications.,Very High,AI-ML-NLP-DeepLearning
B.Tech IT,"C++, Docker, Machine Learning, Linux",AI,Building Projects,Building Intelligent Systems,Physics,Network Engineer,132100,Maintain network systems and connectivity.,High,Routing-Switching-NetworkSecurity
BCA,"JavaScript, Linux, Deep Learning, Machine Learning",Web Development,Exploring Open Source,Building Intelligent Systems,Data Science,Frontend Developer,146361,Create interactive UI experiences.,Medium,HTML-CSS-JavaScript-React-UI Design
BSc Computer Science,"Node.js, Kubernetes, Cloud Computing, Machine Learning",Networking,Gaming,Developing Web Apps,Data Science,DevOps Engineer,88108,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
BCA,"SQL, C++, Linux, AWS",Data Analytics,Building Projects,Automating Processes,Computer Science,UI/UX Designer,112632,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
BSc Computer Science,"JavaScript, Node.js, C++, CSS",App Development,Debugging,Automating Processes,Physics,Blockchain Developer,88090,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
B.E Computer Science,"Linux, CSS, Azure, Cloud Computing",UI/UX Design,Exploring Open Source,Creating Technology,Computer Science,Software Developer,72953,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
BCA,"Java, Python, React, DevOps",Data Analytics,Reading Tech Blogs,Solving Problems,Data Science,Data Scientist,114103,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
BSc Computer Science,"Linux, React, CSS, Automation",Web Development,Debugging,Developing Web Apps,Physics,Software Developer,109769,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
MTech Data Science,"Automation, Deep Learning, AWS, SQL",Data Analytics,Reading Tech Blogs,Working with Data,Data Science,Blockchain Developer,137521,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
MCA,"Docker, Azure, Automation, Cloud Computing",Networking,Gaming,Automating Processes,Information Technology,Backend Developer,101558,Manage server-side logic and databases.,Medium,Node-Python-Databases-APIs
B.E Computer Science,"C++, HTML, Machine Learning, Automation",UI/UX Design,Competitive Programming,Designing User Experiences,Electronics,Full Stack Developer,111056,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
